PIN,Property_Address,Property_Class,Census_Tract,Type_of_Residence,Rooms,Bedrooms,Basement,Fireplaces,Central_Air,Building_Square_Feet,Land_Square_Feet,Age,Longitude,Latitude,Walkscore,Walkfac,Sale_Price,Total_Baths,Log_Sale_Price
3.02041E+13,1504 KENILWORTH DR,207,826202,2-story,6,3,Partial,0,1,1360,5747,63,-87.5289022,41.5898614,32,Car-Dependent,85000,1.5,11.35040654
1.2121E+13,7730 W GREGORY ST,203,100500,1-story,6,4,Full,0,0,1450,4960,16,-87.8206056,41.9807366,36,Car-Dependent,386000,2,12.86359265
1.32941E+13,2634 N MAJOR AV,203,190602,?,6,3,Full,0,0,1389,3720,88,-87.7688478,41.928609,77,Very Walkable,275000,1,12.52452638
2.4163E+13,5409 W 108TH PL,204,822602,1-story,6,3,Partial,1,1,1963,6875,17,-87.7556324,41.6937523,29,Car-Dependent,323000,2,12.6854076
4.24307E+12,256  GRAEMERE ST NORTHFIELD,206,801800,2,7,3,Partial,1,1,2825,10560,59,-87.78218381,42.09864797,32,Car-Dependent,331000,2.5,12.70987365
3.1122E+13,1224 BRAEBURN RD,204,829800,?,10,4,Partial,2,1,4410,52577,62,-87.6784925,41.5400362,44,Car-Dependent,585000,3.5,13.27936713
1.43142E+13,1714 W WABANSIA AVE,207,240200,2-story,7,3,Full,0,0,1668,1952,19,-87.670865,41.9125832,89,Very Walkable,510000,2,13.142166
3.1011E+13,2921 W 183RD ST,203,829800,1-story,6,3,Full,0,0,1406,14650,50,-87.6878125,41.55684,64,Somewhat Walkable,173000,1,12.06104687
1.80541E+13,235 S GILBERT AVE,203,819700,1-story,6,3,Full,1,0,1197,7800,50,-87.8886674,41.8089324,58,Somewhat Walkable,205000,1,12.23076526
1.02332E+13,8244  CENTRAL PARK AVE SKOKIE,203,807600,1,5,3,Full,0,1,1025,5535,58,-87.71872837,42.03126028,74,Very Walkable,240000,1,12.3883942
1.60641E+13,817 N RIDGELAND AV,205,812400,2-story,6,3,Full,0,1,1365,5699,92,-87.7853833,41.900556,60,Somewhat Walkable,350000,1,12.76568843
2.41532E+13,10642 S SACRAMENTO,203,822801,1-story,6,3,Partial,0,0,1324,7503,39,-87.6967647,41.699477,44,Car-Dependent,210000,1.5,12.25486281
1.8174E+13,9649 W 55TH ST,203,820104,1-story,6,3,Partial,0,0,1370,30000,49,-87.8605766,41.7899893,50,Somewhat Walkable,400000,2,12.89921983
3.03111E+13,17834 SCHOOL ST,203,828201,?,5,3,Full,0,0,1095,5236,62,-87.54944,41.570922,48,Car-Dependent,139900,1,11.84868316
4.05407E+12,715  ALICE DR NORTHBROOK,203,801601,1,7,3,Partial,1,1,1200,21800,65,-87.84970939,42.13969987,66,Somewhat Walkable,360000,1,12.79385931
2.82231E+13,16440 S HAROLD ST,203,825200,1-story,5,3,Partial,0,0,1002,5564,39,-87.728228,41.5934335,14,Car-Dependent,147000,1,11.89818787
3.12642E+13,352 WAVERLY ST,203,830202,1-story,6,4,Partial,0,0,1553,9831,53,-87.6983625,41.484541,47,Car-Dependent,140000,1.5,11.8493977
1.61811E+13,538 S GROVE,205,812900,2-story,7,3,Full,0,1,1220,3875,92,-87.7951423,41.8782208,83,Very Walkable,427700,1,12.96617729
1.24207E+12,1940  DRIFTWOOD CT HOFFMAN ESTATES,207,804202,2,6,3,Partial,0,1,1739,8500,36,-88.12787868,42.10650186,10,Car-Dependent,305000,1.5,12.62806706
1.23231E+13,6  BELL DR NORTHLAKE,203,811800,5,6,3,Partial,0,1,1153,7500,75,-87.90247112,41.91084946,63,Somewhat Walkable,85000,1,11.35040654
2.40141E+13,2745 W 94TH ST,204,821800,1-story,6,3,Full,1,0,1881,5740,50,-87.6912203,41.7223505,77,Very Walkable,250000,2.5,12.4292162
1.60512E+13,1045 HAYES AVE,204,812100,?,6,3,Full,0,0,1872,4125,91,-87.779427,41.9055182,73,Very Walkable,430000,2,12.97154049
5.28307E+12,2134  ELMWOOD AVE WILMETTE,205,800700,2,8,4,Partial,0,1,1875,6600,65,-87.72915349,42.08258282,35,Car-Dependent,582250,1.5,13.27465519
7.35111E+12,619  ONEIDA DR ROSELLE,203,804803,1,6,3,Full,0,1,1304,20454,54,-88.06439484,42.00133627,37,Car-Dependent,170000,1.5,12.04355372
9.28403E+12,2239 S SCOTT ST DES PLAINES,202,806502,1,5,3,Full,0,1,925,5445,64,-87.87433723,42.0128648,47,Car-Dependent,154500,1,11.94794938
2.90432E+13,14431 S WALLACE ST,202,826700,1-story,5,2,Full,0,0,887,3750,56,-87.6363269,41.6320567,47,Car-Dependent,87000,1,11.3736634
1.2321E+13,59  DEWEY AVE NORTHLAKE,203,811800,5,5,3,Partial,0,1,1064,10032,68,-87.89976598,41.9182658,20,Car-Dependent,209000,1,12.25008953
9.22301E+12,1330  GOOD AVE PARK RIDGE,203,805901,1,6,3,Full,0,1,1320,4620,62,-87.86280331,42.03135656,45,Car-Dependent,250000,1,12.4292162
2.8174E+13,5930 LIBERTY SQ,203,824505,1-story,7,3,Full,1,0,1317,7625,32,-87.7647058,41.6072207,55,Somewhat Walkable,233250,1.5,12.35986612
1.0133E+13,1604  PITNER AVE EVANSTON,210,809600,2,6,2,Full,0,1,884,2666,74,-87.70564995,42.04667769,51,Somewhat Walkable,170000,1.5,12.04355372
1.20122E+13,7400 W EVERELL AVE,203,100300,?,7,3,Full,0,0,1624,4188,54,-87.8120426,41.9928019,43,Car-Dependent,415000,1,12.9360338
2.12309E+12,1104  CARPENTER DR PALATINE,204,803605,1,8,4,Partial,1,1,2360,9000,38,-88.01665938,42.12583931,21,Car-Dependent,293100,2.5,12.58826913
8.09221E+12,1202 S VAIL AVE ARLINGTON HEIGHTS,204,805110,1,8,4,Partial,1,1,2131,12150,47,-87.98393304,42.06219154,47,Car-Dependent,379000,2.5,12.84529148
1.82531E+13,7624 S 78TH AV,203,820501,1-story,5,3,Partial,0,0,1000,6600,50,-87.8147691,41.751892,52,Somewhat Walkable,139500,1,11.84581988
1.50932E+13,3607 MADISON,205,817101,2-story,8,4,Partial,0,1,2332,4375,99,-87.8774332,41.8782152,71,Very Walkable,179900,2,12.10015642
1.43113E+13,6435 TOWER CT,203,832200,?,5,3,Full,0,0,1378,2400,113,-87.7528446,41.9978329,47,Car-Dependent,407500,1,12.91779621
1.22921E+13,10615 W GRAND AVE MELROSE PARK,203,811702,1,6,4,Partial,0,1,1550,14310,46,-87.88934845,41.93010764,60,Somewhat Walkable,145000,2,11.88448902
1.3173E+13,4249 N MELVINA,202,150502,?,6,3,Full,0,0,600,3990,83,-87.7815282,41.9580571,64,Somewhat Walkable,294500,1.5,12.59303428
1.63142E+13,3739 EUCLID,203,815500,1-story,6,3,Full,0,0,1436,3720,75,-87.7909547,41.8235597,64,Somewhat Walkable,222000,1,12.31043266
1.8334E+13,110 N NOLTON AVE,203,820202,1-story,5,3,Partial,0,1,1450,3750,55,-87.866378,41.73943,34,Car-Dependent,263000,1,12.47990931
1.32523E+13,1136 LAUREL AV,203,210900,?,7,3,Full,0,0,1392,6250,109,-87.8566444,42.1568993,36,Car-Dependent,550000,2,13.21767356
6.36104E+12,2060  SYCAMORE AVE HANOVER PARK,203,804509,1,6,4,Partial,1,1,1532,34747,56,-88.15602489,41.99949837,42,Car-Dependent,105000,2,11.56171563
1.9223E+13,6738 S KOSTNER AVE,203,650500,1-story,5,3,Full,0,0,1063,3750,59,-87.7325561,41.770082,64,Somewhat Walkable,135000,1,11.81303006
1.93541E+13,3445 W 83RD PL,203,700402,1-story,5,3,Full,0,0,1080,3150,43,-87.7088523,41.7412461,62,Somewhat Walkable,196500,1,12.18841771
6.24311E+12,615  WESTGATE TER STREAMWOOD,203,804308,1,6,3,Full,0,1,1347,7441,43,-88.16016055,42.01755149,33,Car-Dependent,192500,1.5,12.16785143
9.13202E+12,9220  ODELL AVE MORTON GROVE,203,805302,1,6,4,Partial,0,1,1537,6897,53,-87.81044097,42.04876698,42,Car-Dependent,220000,2.5,12.30138283
9.28403E+12,2216  MAGNOLIA AVE DES PLAINES,202,806502,1,5,3,Full,0,1,864,6650,61,-87.87386863,42.01328194,47,Car-Dependent,125000,1,11.73606902
2.4131E+13,10342 S TROY AVE,202,740100,1-story,5,2,Full,0,0,893,4575,56,-87.7004221,41.70484,56,Somewhat Walkable,225000,1,12.32385568
1.63033E+13,7111 RIVERSIDE DR,203,814800,1-story,5,3,Full,0,1,1531,5852,50,-87.8014423,41.8425032,73,Very Walkable,274900,1.5,12.52416267
1.23321E+13,2058  EMERSON AVE MELROSE PARK,202,811302,1,5,2,Partial,0,1,768,12535,69,-87.87163836,41.9165718,35,Car-Dependent,155000,1,11.9511804
1.90121E+13,4018 S CAMPBELL,203,580700,?,6,3,Full,0,0,1225,3596,95,-87.6874749,41.8204199,68,Somewhat Walkable,178000,1,12.08953883
3.30641E+13,2862 191ST PL,203,828505,1-story,5,3,Full,0,0,1138,9655,38,-87.5462106,41.5480061,44,Car-Dependent,130000,1,11.77528973
1.92532E+13,7746 S ALBANY,203,700100,1-story,5,3,Full,0,1,1074,3906,46,-87.7003066,41.7521137,39,Car-Dependent,140000,1,11.8493977
2.02023E+13,6628 S CARPENTER,207,681000,2-story,6,3,Partial,0,0,1088,3125,34,-87.651053,41.773297,69,Somewhat Walkable,180000,1,12.10071213
1.02332E+13,8238  CENTRAL PARK AVE SKOKIE,203,807600,1,5,3,Full,0,1,1025,5535,61,-87.71873171,42.03113698,74,Very Walkable,259000,1,12.46458334
2.92011E+13,15915 LEXINGTON AVE,202,827500,1-story,4,2,Full,0,0,924,3175,114,-87.6495771,41.600217,59,Somewhat Walkable,69000,1,11.14186178
1.31322E+13,2746 W WINDSOR,203,140800,1-story,6,3,Full,0,0,1391,3420,93,-87.6979967,41.9641467,73,Very Walkable,590000,1,13.28787782
1.61923E+13,1513 S WESLEY AV,203,814600,1-story,4,3,Partial,0,0,1155,6048,58,-87.7908394,41.8592527,72,Very Walkable,175000,1,12.07254125
3.03021E+13,17134 OAKWOOD,203,827902,?,7,4,Partial,0,0,1317,6250,46,-87.5469445,41.5837376,39,Car-Dependent,109900,1.5,11.60732614
1.9351E+13,3747 W 79TH PL,202,700401,1-story,4,2,Full,0,0,940,4199,58,-87.7164727,41.748471,64,Somewhat Walkable,156500,1,11.96081129
1.31622E+13,5033 W WINDSOR AVE,203,150200,1-story,5,2,Full,0,0,1100,4375,94,-87.7538172,41.9631633,80,Very Walkable,420000,1,12.94800999
2.5282E+13,11940 S WENTWORTH,202,530501,1-story,6,4,Full,0,0,946,6200,101,-87.627758,41.676796,56,Somewhat Walkable,120000,1,11.69524702
4.35201E+12,1235  RALEIGH RD GLENVIEW,204,802200,1,9,5,Partial,1,1,2582,9450,58,-87.79592589,42.07720388,68,Somewhat Walkable,390000,2,12.87390202
1.32023E+13,5825 W WAVELAND AVE,202,150600,?,7,4,Full,0,1,814,3790,83,-87.7727396,41.9474197,74,Very Walkable,270000,2,12.50617724
1.13123E+13,1742 W PRATT,205,10702,2-story,8,4,Partial,0,0,2072,3597,105,-87.674787,42.0055114,92,Walker's Paradise,330000,1.5,12.70684793
1.52733E+13,1143 MORGAN,207,818600,2-story,6,3,Partial,0,1,2366,7753,62,-87.8577569,41.8363856,55,Somewhat Walkable,430000,2.5,12.97154049
7.15309E+12,30  FOREST PARK LN HOFFMAN ESTATES,203,804709,1,4,3,Partial,0,1,1466,10533,57,-88.08047869,42.04110563,56,Somewhat Walkable,215000,2,12.27839331
3.01813E+13,873 CAMPBELL,203,826201,?,6,3,Partial,0,1,1238,8250,66,-87.5499573,41.6094045,18,Car-Dependent,135000,1,11.81303006
8.28223E+12,155  WILDWOOD RD ELK GROVE VILLAGE,203,770400,1,6,3,Partial,0,1,1291,7150,55,-87.97969145,42.01911582,43,Car-Dependent,167000,1.5,12.02574909
4.34204E+12,2130  FIR ST GLENVIEW,203,802100,1,8,4,Partial,1,1,1759,6750,70,-87.81181442,42.07632817,50,Somewhat Walkable,565000,1.5,13.24458101
1.32543E+13,2429 N MAPLEWOOD AVE,204,830900,?,7,3,Full,0,1,1835,3150,109,-87.6909783,41.9258233,91,Walker's Paradise,524000,1.5,13.16924696
2.17302E+12,350  WILLOW RD INVERNESS,204,803603,1,7,4,Partial,1,1,1802,38333,54,-88.09614537,42.116309,7,Car-Dependent,365000,2.5,12.80765263
9.33313E+12,1835  PRATT ST DES PLAINES,204,806600,5,7,4,Partial,0,1,2321,10260,61,-87.87881679,42.00220613,43,Car-Dependent,195000,1.5,12.18075484
2.70931E+13,10162 W 151ST ST,203,824114,1-story,6,4,Partial,0,0,1305,8680,46,-87.8675961,41.61589,47,Car-Dependent,168000,2,12.03171926
3.3312E+13,3026 E 224TH ST,207,828504,1-story,6,3,Partial,0,1,1373,6820,21,-87.5473307,41.4828551,11,Car-Dependent,120000,2,11.69524702
1.70613E+13,1900 W DIVISION,203,241400,1-story,4,2,Full,0,0,1012,2568,118,-87.6749682,41.9034961,95,Walker's Paradise,415000,1,12.9360338
1.9342E+13,8047 S KOLIN,203,700301,1-story,4,2,Partial,0,0,1025,4391,50,-87.7302478,41.745595,52,Somewhat Walkable,125500,1,11.74006104
1.52131E+13,1912 HULL AV,203,818100,1-story,5,2,Full,1,1,1015,5200,59,-87.8760335,41.8520299,52,Somewhat Walkable,200000,1,12.20607265
1.63021E+13,2310 WESLEY,203,814800,1-story,5,3,Full,0,0,1195,5670,94,-87.7910699,41.8483183,82,Very Walkable,199000,1,12.2010601
1.92312E+13,3936 W 65TH PL,202,650302,1-story,5,3,Full,0,0,525,6650,81,-87.7215463,41.7744919,83,Very Walkable,224900,1,12.32341114
1.01821E+13,6628  CHURCH ST MORTON GROVE,203,808400,1,5,3,Full,0,1,1020,6129,62,-87.79250453,42.04833794,52,Somewhat Walkable,243000,1,12.40081672
2.81221E+13,14426 SHERMAN AV,203,824800,?,5,3,Full,0,0,1662,3150,49,-87.6805234,41.6308014,48,Car-Dependent,167000,2,12.02574909
6.35104E+12,214 N CREST AVE BARTLETT,202,804505,1,4,2,Full,0,1,720,6750,59,-88.17938822,41.99740658,34,Car-Dependent,106575,1,11.57660424
2.41742E+13,10906 PARKSIDE AVE,203,823002,?,5,3,Partial,0,0,975,8978,51,-87.7608998,41.6938548,39,Car-Dependent,194000,1,12.17561344
1.30111E+13,6247 N TROY ST,203,20702,1-story,4,2,Full,0,0,944,4092,54,-87.7077647,41.9952618,83,Very Walkable,369000,1,12.81855192
2.23111E+12,41 E DANIELS RD PALATINE,202,803800,1,5,2,Partial,0,1,824,8064,65,-88.04209189,42.10600534,65,Somewhat Walkable,178000,1,12.08953883
1.33031E+13,2608 N NEW ENGLAND,202,831600,1-story,5,2,Partial,0,0,686,3936,82,-87.7980331,41.9275436,75,Very Walkable,245000,1,12.40901349
1.93531E+13,3611 W 83RD PL,203,700402,1-story,5,3,Full,0,0,1040,3150,48,-87.7125087,41.7412021,60,Somewhat Walkable,143000,1,11.87059991
2.4272E+13,11964 S KARLOV AVE,203,823303,1-story,4,2,Full,0,0,1072,8958,44,-87.7223219,41.6748501,70,Very Walkable,175000,2,12.07254125
1.01542E+13,4144  ENFIELD AVE SKOKIE,203,807100,1,6,3,Partial,0,1,1373,7260,58,-87.7318981,42.04194155,74,Very Walkable,345000,1.5,12.7512997
1.23233E+13,120 E NORTH AVE NORTHLAKE,203,811800,5,7,3,Partial,0,1,1408,6000,64,-87.89825157,41.90765251,75,Very Walkable,175000,1.5,12.07254125
2.42321E+13,11144 S SAWYER,204,740400,1-story,4,2,Full,0,0,916,3150,85,-87.7023085,41.6902121,71,Very Walkable,255000,1,12.44901882
1.91233E+13,3029 W 54TH ST,203,630400,1-story,5,3,Full,0,0,1183,2973,83,-87.6999601,41.795187,80,Very Walkable,206000,1,12.23563145
1.0301E+13,7928  NEVA AVE NILES,202,808200,1,4,2,Partial,0,1,975,7200,61,-87.80418487,42.02527318,78,Very Walkable,185000,1,12.1281111
1.61842E+13,1115 GUNDERSON,206,813100,1-story,5,2,Full,0,0,1261,4725,83,-87.7867666,41.8683274,70,Somewhat Walkable,400000,1,12.89921983
1.30111E+13,6257 N TROY ST,203,20702,1-story,8,3,Full,0,1,1454,3472,50,-87.7077551,41.9955228,83,Very Walkable,269000,1.5,12.50246666
3.11311E+13,3008 MESSINA AVE,208,830005,2-story,11,5,Full,1,1,4298,12064,1,-87.6899689,41.5246597,22,Car-Dependent,350000,5,12.76568843
1.21141E+13,8355 W FOSTER AVE NORRIDGE,203,770902,1,5,2,Partial,0,1,1009,10020,59,-87.83634424,41.97352956,72,Very Walkable,190000,1,12.15477935
1.21142E+13,4826 N PROSPECT AVE NORRIDGE,202,770902,1,5,3,Partial,0,1,927,10065,59,-87.83152863,41.96728945,67,Somewhat Walkable,178500,1,12.09234388
2.42441E+13,2547 W 117TH ST,203,750400,1-story,6,3,Full,0,1,1279,4270,54,-87.685059,41.6806457,57,Somewhat Walkable,126000,1,11.74403719
2.61841E+13,11024 S GREENBAY AV,203,520600,1-story,5,3,Full,0,0,1040,4375,45,-87.5416137,41.6947559,43,Car-Dependent,125000,1,11.73606902
1.30721E+13,5448 N NEENAH AV,202,100600,1-story,5,2,Full,0,1,924,3720,49,-87.7904552,41.9806652,50,Somewhat Walkable,187000,1,12.1388639
3.12111E+13,951 NOTRE DAME DR,207,830004,2-story,7,4,Partial,0,1,1650,8470,37,-87.7475378,41.5083128,8,Car-Dependent,105000,1.5,11.56171563
2.91415E+13,15615 ELLIS AVE,203,826303,1-story,5,3,Full,0,0,1142,5632,53,-87.5925788,41.6111982,58,Somewhat Walkable,77500,1,11.25803322
1.02412E+13,934  GREY AVE EVANSTON,203,809700,1,5,3,Full,0,1,1071,6156,62,-87.7028242,42.03506037,56,Somewhat Walkable,314000,1,12.65714826
2.09302E+12,1192 N DEER AVE PALATINE,204,803610,5,10,4,Full,1,1,3100,10791,47,-88.07797114,42.13190751,21,Car-Dependent,525000,3.5,13.17115354
1.92512E+13,7317 S RICHMOND,203,661100,?,5,2,Full,0,0,1116,5166,61,-87.6963412,41.7602336,45,Car-Dependent,118900,1,11.68603808
8.33222E+12,1190  HICKORY LN ELK GROVE VILLAGE,203,770300,1,6,3,Partial,0,1,1308,8432,53,-87.98752618,41.99942932,28,Car-Dependent,235000,1.5,12.36734079
1.52512E+13,6538 W 27TH ST,202,815600,1-story,9,3,Full,0,0,960,7500,97,-87.7783899,41.8416355,66,Somewhat Walkable,205000,1,12.23076526
1.02023E+13,5805  LINCOLN AVE MORTON GROVE,203,808301,1,5,3,Full,0,1,1150,5375,56,-87.77202649,42.03460053,69,Somewhat Walkable,168000,1.5,12.03171926
2.40421E+13,9042 S 49TH CT,203,822101,1-story,5,3,Partial,0,0,1156,8040,55,-87.7448244,41.7277017,67,Somewhat Walkable,192500,1,12.16785143
1.90731E+13,5224 S NORDICA AVE,202,560900,1-story,4,2,Partial,0,0,864,5600,57,-87.7981387,41.7968327,54,Somewhat Walkable,245000,1,12.40901349
2.41341E+13,10745 S CAMPBELL AVE,205,750300,2-story,6,3,Partial,0,0,1543,6250,63,-87.6835571,41.6977342,73,Very Walkable,314000,1,12.65714826
2.82322E+13,16109 ST LOUIS,203,825600,?,6,3,Full,0,0,1200,5320,48,-87.7015385,41.5967046,48,Car-Dependent,75000,1.5,11.22524339
2.90443E+13,115 E 146TH ST,203,826600,1-story,6,3,Partial,0,0,1369,5000,50,-87.6187617,41.629642,56,Somewhat Walkable,95000,1,11.46163217
1.22932E+13,917 N HAROLD AVE MELROSE PARK,203,811702,5,7,4,Partial,0,1,1588,8448,62,-87.89769101,41.9298658,44,Car-Dependent,175000,1.5,12.07254125
1.93242E+13,8500 S MENARD,203,821101,1-story,6,3,Full,0,1,1555,11800,51,-87.7653655,41.7375278,61,Somewhat Walkable,299000,1,12.60819885
1.80311E+13,4171 BLANCHAN AVE,203,819300,1-story,5,3,Full,0,0,1156,3150,46,-87.8583324,41.8149336,74,Very Walkable,255000,1,12.44901882
2.90742E+13,14916 HONORE,202,826901,1-story,5,2,Full,0,0,968,4688,80,-87.662284,41.6183103,50,Car-Dependent,105000,1,11.56171563
1.30842E+13,4861 N MASON ST,203,110400,1-story,5,3,Full,0,0,1144,3720,82,-87.7767753,41.9693329,64,Somewhat Walkable,257500,1,12.458775
1.3034E+13,5839 N KOSTNER,203,120300,?,7,3,Full,1,1,1556,4960,82,-87.7380244,41.9875465,53,Somewhat Walkable,420000,1.5,12.94800999
1.91822E+13,5720 S NORMANDY,203,561000,1-story,5,3,Partial,0,1,1148,5360,57,-87.7892641,41.7878863,58,Somewhat Walkable,240000,1,12.3883942
6.08207E+12,5757  RED OAK DR HOFFMAN ESTATES,204,804403,1,7,3,Full,1,1,2304,14658,13,-88.22611904,42.05346476,2,Car-Dependent,374000,1.5,12.83201108
1.02721E+13,7844  KARLOV AVE SKOKIE,203,807500,1,5,2,Full,0,1,1050,3690,87,-87.73101547,42.02398282,64,Somewhat Walkable,258000,2,12.46071486
1.52041E+13,10560 OXFORD,203,818402,1-story,5,2,Full,0,1,1015,8582,48,-87.8865588,41.8525144,52,Somewhat Walkable,200000,1,12.20607265
1.9034E+13,4350 S KOMENSKY AV,203,570200,1-story,4,3,Partial,0,0,1116,4375,50,-87.7252847,41.8136653,68,Somewhat Walkable,208000,1,12.24529336
